githubFile,Reviewers,DateReviewed,Status,HITLnotes
ATOSU-58320-00008__20191009.csv,"WR,KG",4/9/20,Clear,
ATOSU-58320-00008__20211026.csv,"MV,WR",7/15/22,Clear,
ATOSU-58320-00017__20140112.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00017__20161027.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00017__20170302.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00017__20180910.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00017__20201120.csv,"MV,WR",5/26/21,Clear,
ATOSU-58320-00018__20140112.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00018__20170125.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00018__20180910.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00018__20201120.csv,"MV,WR",5/26/21,Clear,
ATOSU-58320-00019__20140112.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00019__20150519.csv,"KB,WR",5/2/19,NotClear,is 2015 using the correct foil coefficients...different than 2014?
ATOSU-58320-00019__20161123.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00019__20181111.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00019__20201120.csv,"MV,WR",5/26/21,Clear,
ATOSU-58320-00020__20130629.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00020__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATOSU-58320-00020__20171023.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00020__20191009.csv,"WR,KG",4/9/20,Clear,
ATOSU-58320-00020__20211026.csv,"MV,WR",7/15/22,Clear,
ATOSU-58320-00021__20130117.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00021__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATOSU-58320-00021__20171023.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00021__20191009.csv,"WR,KG",4/9/20,Clear,
ATOSU-58320-00021__20212026.csv,"MV,WR",7/15/22,Clear,
ATOSU-58320-00022__20140618.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00022__20161027.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00022__20170302.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00022__20180910.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00022__20201120.csv,"MV,WR",5/26/21,Clear,
ATOSU-58332-00008__20170510.csv,"KB,WR",4/30/19,NotClear,is this a duplicate file?
ATOSU-58332-00009__20140910.csv,"KB,WR",4/30/19,NotClear,seabird sent a file for 20140415?
ATOSU-58336-00005__20131218.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00005__20160422.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00005__20171006.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00005__20201006.csv,"MV,WR",5/26/21,Clear,
ATOSU-58336-00006__20140121.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00006__20160418.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00006__20171006.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00006__20200113.csv,"WR,EH",4/9/20,Clear,"check Serial Number (listed as ""SAMI""...should be SN79)"
ATOSU-58336-00006__20211122.csv,"MV,WR",7/15/22,Clear,
ATOSU-58336-00007__20150409.csv,"KB,WR",4/30/19,Clear,
